,,,,,,,0,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,,,,,,,,,,,
,,,,,,,4,,,,,,,,,,,,,1,,3,,-100,-100,-100,-100,-100,-100,,,,,,,,,,,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,6,,,7,,6,6,6,6,6,6,6,6,6,6,,,6,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,19,19,,,,,8,9,10,11,12,13,14,15,16,17,,,18,,,,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
,,21,21,21,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21
,,,,,,,,,,,,,,,,,,,,,,,,22,22,22,22,22,22,,,,,,,,,,,
,,24,,24,,,,,,,,,,,,,,,23,,,,24,,,,,,,,,,,,,,,,,
,,26,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,25,25,25,25,25,25,25
,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,
,,29,29,,,29,,29,29,29,29,29,29,29,29,29,29,,,29,28,,,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
,,,,,31,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,32,,33,33,33,33,33,33,,,,,,,,,,,
,,,,35,,,,,,,,,,,,,,,,,,,,34,34,34,34,34,34,,,,,,,,,,,
,,,,37,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,38,39,40,41,42,43,,,,,,,,,,,